X,Y,rand_point,fid,DN,elev_1,slope_1,aspect_1,rough_1,tri_1
85.4077323963567,22.2264426640119,185,60,1,464,15.3196067810059,220.244079589844,21.2501487731934,22.1359443664551
85.4154720233056,22.2260599436221,186,60,1,451,17.9716033935547,308.267852783203,13.7852611541748,26.4952831268311
85.4086355705019,22.2292114342833,187,60,1,482,19.1937789916992,12.1688098907471,5.56701469421387,27
85.4143124840872,22.2260403768824,188,60,1,474,28.3844242095947,70.4971923828125,9.86093521118164,41.1339263916016
85.4154892392317,22.2248615700294,189,60,1,510,21.1482849121094,326.854858398438,33.2944564819336,33.2565765380859
85.4145328303252,22.225514168738,190,60,1,460,18.5852546691895,77.3218154907227,19.743257522583,26.7207775115967
85.4136588594825,22.2263075417873,191,60,1,479,25.6024551391602,32.1057357788086,13.8626880645752,36.0277671813965
85.4117362132384,22.2278670101124,192,60,1,484,17.0376415252686,8.0973072052002,9.14892196655273,23.5159511566162
85.4111598208068,22.2286395767278,193,60,1,469,16.5740871429443,40.7415542602539,29.0273380279541,27.1477432250977
85.4019606959327,22.2236011459232,194,61,1,382,16.949068069458,285.608337402344,16.0246162414551,22
85.4018056245972,22.2247275704664,195,61,1,378,17.9101142883301,261.243743896484,26.4110622406006,26.8886585235596
85.4021794171357,22.2244327083412,196,61,1,392,23.0675201416016,263.365997314453,14.9439277648926,31.7962265014648
85.4018974443793,22.2252441288665,197,61,1,379,17.9722442626953,266.376770019531,24.7312755584717,28.3196048736572
85.4022021405297,22.22599946337,198,61,1,397,15.9408483505249,292.802673339844,21.055061340332,29
85.4016949976403,22.226039304861,199,61,1,383,19.0955104827881,274.07470703125,18.806604385376,24.839485168457
85.4034860181458,22.223544207472,200,62,1,405,17.7644462585449,233.937789916992,11.7057008743286,23.1948261260986
85.4036673486782,22.2239753368311,201,62,1,416,12.8298292160034,238.528686523438,14.6752052307129,16.822603225708
85.4229516670174,22.2237173999139,202,63,1,446,17.4138107299805,65.272819519043,6.40056800842285,22.538854598999
85.4233283961616,22.224165668357,203,63,1,428,11.3882122039795,74.6559677124023,18.6621341705322,16.0312194824219
85.4225387788106,22.2240763554524,204,63,1,449,19.6745719909668,47.4266967773438,11.6593866348267,25.9036674499512
85.4207935758356,22.224049033818,205,64,1,482,17.4665222167969,98.9955520629883,24.5320053100586,26.8886585235596
85.4208632902469,22.223562730253,206,64,1,465,18.5093383789062,130.472030639648,30.1229820251465,26.8700580596924
85.4202749262453,22.2236894141946,207,64,1,483,16.2822704315186,160.129333496094,26.3578414916992,26.153392791748
85.4327550748096,22.2237480572637,208,65,1,409,14.2701215744019,1.94512355327606,9.30269145965576,20.6155281066895
85.433484210135,22.223557965519,209,65,1,419,15.0270137786865,18.7584819793701,12.0000352859497,22.8254241943359
85.4323284318932,22.2240055578142,210,65,1,404,12.784628868103,20.0236511230469,6.96508312225342,17.3205089569092
85.4157333143857,22.223475887055,211,66,1,503,15.5852813720703,181.773620605469,10.8853616714478,23.4307498931885
85.4218069397559,22.2235139240219,212,67,1,454,16.8839244842529,178.3701171875,10.1261501312256,22.6936111450195
85.4297211427075,22.223597337217,213,68,1,413,15.8487319946289,126.307479858398,6.80703353881836,21.023796081543
